Batch_ID,Date,Replicates_ID,Run date,Concentrations_ID,Samples_ID,Duration_ID,Samples
exp281022,281022,PROTAC1_010u_exp281022_T25_run141222_10,141222,010u,PROTAC,9d,Gefitinib-PROTAC-1
exp281022,281022,PROTAC2_010u_exp281022_T25_run141222_11,141222,010u,PROTAC,9d,Gefitinib-PROTAC-1
exp281022,281022,PROTAC3_010u_exp281022_T25_run141222_12,141222,010u,PROTAC,9d,Gefitinib-PROTAC-1
exp281022,281022,PROTAC4_010u_exp281022_T25_run141222_13,141222,010u,PROTAC,9d,Gefitinib-PROTAC-1
exp281022,281022,Cetux1_020u_exp281022_T25_run141222_14,141222,020u,Cetux,9d,Cetuximab
exp281022,281022,Cetux2_020u_exp281022_T25_run141222_15,141222,020u,Cetux,9d,Cetuximab
exp281022,281022,Cetux3_020u_exp281022_T25_run141222_16,141222,020u,Cetux,9d,Cetuximab
exp281022,281022,Cetux4_020u_exp281022_T25_run141222_17,141222,020u,Cetux,9d,Cetuximab
exp281022,281022,Gef1_002u_exp281022_T25_run141222_18,141222,002u,Gef,9d,Gefitinib
exp281022,281022,Gef2_002u_exp281022_T25_run141222_19,141222,002u,Gef,9d,Gefitinib
exp281022,281022,Gef3_002u_exp281022_T25_run141222_20,141222,002u,Gef,9d,Gefitinib
exp281022,281022,Gef4_002u_exp281022_T25_run141222_21,141222,002u,Gef,9d,Gefitinib
