Batch_ID,Filename,Pathway,Old_Pathway,MoA,Old_MoA,Compound,Samples_ID,Kept,Date,Run date,Duration,Duration_ID,Concentrations_Formatted,Concentrations_ID,Concentrations,Replicates,Replicates_ID,Comments
exp010821,exp010821.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-08-01,2021-08-18,0,0d,000 uM,000u,0,2,Temps01_000u_exp010821_run180821_01,NA
exp010821,exp010821.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-08-01,2021-08-18,0,0d,000 uM,000u,0,2,Temps02_000u_exp010821_run180821_02,NA
exp040821,exp040821.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-08-04,2021-08-18,0,0d,000 uM,000u,0,2,Temps01_000u_exp040821_run180821_23,NA
exp040821,exp040821.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-08-04,2021-08-18,0,0d,000 uM,000u,0,2,Temps02_000u_exp040821_run180821_24,NA
exp130921,exp130921.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-09-13,2021-09-29,0,0d,000 uM,000u,0,1,Temps01_000u_exp130921_run290921_48,NA
exp130921_in_vivo,exp130921.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-09-13,2021-11-10,0,0d,000 uM,000u,0,1,Temps02_000u_exp130921_run101121_19,"In vivo, tumoral samples"
exp200921_dose_response,exp200921.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-09-20,2021-11-10,0,0d,000 uM,000u,0,2,Temps01_000u_exp200921_run101121_01,NA
exp200921_dose_response,exp200921.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-09-20,2021-11-10,0,0d,000 uM,000u,0,2,Temps02_000u_exp200921_run101121_02,NA
exp181021,exp181021.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-10-18,2021-11-10,0,0d,000 uM,000u,0,2,Temps01_000u_exp181021_run101121_36,NA
exp181021,exp181021.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-10-18,2021-11-10,0,0d,000 uM,000u,0,2,Temps02_000u_exp181021_run101121_37,NA
exp151121,exp151121.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-11-15,2022-01-18,0,0d,000 uM,000u,0,2,Temps01_000u_exp151121_run180122_01,Low cluster density
exp151121,exp151121.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-11-15,2022-01-18,0,0d,000 uM,000u,0,2,Temps02_000u_exp151121_run180122_02,Low cluster density
exp271221,exp271221.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-12-27,2022-01-18,0,0d,000 uM,000u,0,2,Temps01_000u_exp271221_run180122_15,Low cluster density
exp271221,exp271221.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2021-12-27,2022-01-18,0,0d,000 uM,000u,0,2,Temps02_000u_exp271221_run180122_16,Low cluster density
exp070222,exp070222.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2022-02-07,2022-03-01,0,0d,000 uM,000u,0,2,Temps01_000u_exp070222_run010322_45,NA
exp070222,exp070222.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2022-02-07,2022-03-01,0,0d,000 uM,000u,0,2,Temps02_000u_exp070222_run010322_46,NA
exp220322,exp220322.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2022-03-22,2022-05-20,0,0d,000 uM,000u,0,2,Temps01_000u_exp220322_run200522_45,NA
exp220322,exp220322.tsv,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Control - time zero,Temps0,TRUE,2022-03-22,2022-05-20,0,0d,000 uM,000u,0,2,Temps02_000u_exp220322_run200522_46,NA
